req_id,area,requirement,priority,source,claimed_status,verified_status,evidence,test_case_ids,gap
A1.1,Access & Roles,Replace single-administrator model with real RBAC,P0,docs/todo 1.1,Done,Verified,backend/features/authentication/models.py Role choices (6 roles),KE-AUTH-005,None
A1.2,Access & Roles,Do not allow admin privileges to be casually shared/delegated,P0,docs/todo 1.1,Done,Verified,core/security/service.py grant/revoke + PermissionChange audit trail,,None
A1.3,Access & Roles,Define roles: Administrator/Guidance Staff/Program Head/Teacher/Proctor/Examinee,P0,docs/todo 1.1,Done,Verified,backend/features/authentication/models.py:22-28,,None
A1.4,Access & Roles,Per-role permissions (create/read/update/delete/approve/monitor/manage users/manage exams/view reports),P0,docs/todo 1.1,Done,Partially verified,core/security/permissions_registry.py declares 18 permissions,KE-SEC-004,8 of 18 declared permissions are never enforced anywhere in code (finding A-6) - registry is aspirational for those 8
A1.5,Access & Roles,Consider permission-based access if RBAC alone isn't dynamic enough,P0,docs/todo 1.1,Done,Verified,3-tier engine: role -> module -> action permission,,None
A2.1,Access & Roles,Separate administrative oversight from operational tasks; teachers create/program heads approve,P0,docs/todo 1.2,Done,Partially verified,submit/approve/reject actions exist and are permission-gated (assert_can_review_exam),KE-EXAM-003,Backend logic is correct and tested. Frontend has NO discovery UI for pending-review exams (finding E-1) - a program head cannot find what to approve without already knowing the exam URL.
A3.1,Access & Roles,Simplify registration; make profile photo optional,P0,docs/todo 1.3,Done,Verified,RegisterSerializer; avatar not required,KE-AUTH-003,None
A3.2,Access & Roles,Implement OTP verification + email verification + password confirmation,P0,docs/todo 1.3,Done,Verified,otp_service.py; EmailVerification model; migration 0008,KE-AUTH-006;KE-AUTH-007;KE-AUTH-004,None
UX1,UI/UX,Contrast/readability improvements,P0,docs/todo 2.1-2.2,Done,Verified,frontend/src/styles/theme-contrast.test.ts (14 tests passing),,None
UX2,UI/UX,Legacy College institutional branding,P0,docs/todo 2.3,Partial,Verified partial,frontend/src/core/config/brand.ts + public/branding assets,,"docs/todo itself notes the department seal is a placeholder pending the office's official mark - open, not a doc error"
UX3,UI/UX,Dashboard organization: sort/search/filter,P2,docs/todo 2.4,Done,Verified,examiner-dashboard-page.tsx filter/sort/search present,,None
EX1,Exam Mgmt,Exam categories,P0,docs/todo 3.1,Done,Verified,ExamCategory model + migrations 0012/0013,,None
EX2,Exam Mgmt,Scheduling window open/close,P0,docs/todo 3.2,Done,Verified,Exam.available_from/available_until fields + index,,None
EX3,Exam Mgmt,"Auto exam-code generation (dept+year), locked",P0,docs/todo 3.2,Done,Verified,exams/services.py exam_code generation,,None
EX4,Exam Mgmt,Multi-department assignment,P1,docs/todo 3.3,Done,Verified,Exam.departments M2M field,,None
EX5,Exam Mgmt,Section-level assignment / per-group schedules,P1,docs/todo 3.3,Partial,Verified partial,ExamAssignment roster model exists,,Explicit per-section scheduling not confirmed in this pass - needs a dedicated manual check
EX6,Exam Mgmt,Exam cloning/duplication,P1,docs/todo 3.4,Done,Verified,duplicate_exam in exams/services.py,,None
EX7,Exam Mgmt,Question reorder (drag-and-drop) / edit / delete,P1,docs/todo 3.5,Done,Verified,dnd-kit builder; questions/reorder/ endpoint,,None
EX8,Exam Mgmt,Lock question editing once exam is in progress,P1,docs/todo 3.5,Done,Verified,Validation error observed live this pass: 'Cannot modify this exam - an examinee currently has it in progress',,None
EX9,Exam Mgmt,Image questions + image answer options,P1,docs/todo 3.6,Done,Verified,"QuestionAttachment model (migration 0005); Question.options JSON supports {text,image}",,None
EX10,Exam Mgmt,Bulk XLSX/CSV import + template,P1,docs/todo 3.6,Done,Verified,questions/import/ endpoint,KE-EXAM-006,Frontend template test itself is currently failing due to schema drift - see DEF-002. Underlying import feature works; the test asserting its output format is stale.
EX11,Exam Mgmt,LMS benchmarking table (vs. Google Forms/Jotform),P0,docs/todo 3.9 (manuscript),Manuscript gap,Confirmed gap,No comparison table found in docs/documentation,,Not a code gap - a manuscript writing task. Out of QA scope per this folder's charter; flagged for the team.
EX12,Exam Mgmt,Restrict question access (Guidance-only content confidentiality),P1,docs/todo 3.7,Open,Confirmed open,No access-scoping code found for question-bank confidentiality beyond exam-level RBAC,,Genuine open item
EX13,Exam Mgmt,Dedicated per-exam results/warnings/terminations report,P1,docs/todo 3.8,Open,Confirmed open,reports app has summary/session-level views but no exam-specific warnings/terminations report,,Genuine open item
EX14,Exam Mgmt,Essay held for manual grading; email on results release,P1,docs/todo 3.10-3.11,Done,Verified,session/services.py release-after-grading + send_mail,,None
CV1,CV & Monitoring,Anomaly accumulation model (Normal->Warning->Suspicious->Critical),P0,docs/todo 4.1,Done,Verified,features/behavior/escalation.py + 13 passing tests,KE-BEH-001;KE-BEH-002,None
CV2,CV & Monitoring,Snapshot monitoring over WebSocket,P1,docs/todo 4.2,Done,Verified,monitoring consumer + KE_STORE_FRAMES=False default,KE-MON-005,None
CV3,CV & Monitoring,Define every CV parameter (measure/why/range/algorithm/threshold/action),P0,docs/todo 4.3,Marked done in docs/todo section 4; marked open in docs/todo section 6,CONTRADICTORY within the source doc itself,ai/config/pipeline.yaml has thresholds with inline citation comments; chapter2/03-system-design.html has a parameter table,,docs/todo self-contradicts (finding B-3). Resolve which section is current before citing either in the defense.
CV4,CV & Monitoring,Threshold justification from cited research,P0,docs/todo 4.3,Same contradiction as CV3,Partially verified,"pipeline.yaml has citation comments; capstone-defense-revision-plan.md flags 'values exist, zero citations' as of its writing",,"Needs a defense-ready check: do the pipeline.yaml comments actually cite sources, or just describe the value?"
CV5,CV & Monitoring,YOLOv8 for face/posture detection,P0 (claimed complete in multiple docs),"docs/general/workflow.tree, Study_Objectives.todo, README.md, others",Docs claim DONE/100%,FALSE - not implemented,No ultralytics dependency or YOLO code anywhere in backend/; requirements-cv.txt is mediapipe-only,,"CRITICAL DOC DEFECT - finding B-1. Team already corrected 4 pages per docs/todo 4.5 but 6+ references to YOLO-as-done remain, including a WBS node and a Study Objective marked 100%."
