defect_id,title,severity,priority,module,found_in,steps_to_reproduce,expected,actual,evidence,status,owner,date_found,date_fixed,notes
DEF-001,Frontend has never been type-checked; 12 real type errors exist,Critical,P0,Frontend build tooling,Code read + live tsc run,"Install TypeScript 5.8.3 locally (npm install --no-save typescript@5.8.3), run ./node_modules/.bin/tsc -b --noEmit from frontend/",0 errors (project declares strict:true),"12 errors across 8 files: exam-grader-page.tsx (4x - PendingGradeRow missing 'points'), error-boundary.test.tsx (1x - Boom not a valid JSX component), page-header.tsx/page-shell.tsx/section-panel.tsx (1x each - ReactNode needs type-only import under verbatimModuleSyntax), sidebar.tsx (1x - VariantProps same issue), api-client.ts + api-error.ts (3x - syntax not allowed under erasableSyntaxOnly)",evidence/tsc-output-2026-09-06.txt,open,Twixt Jasley Tamera,2026-09-06,,"Root cause: typescript is not a project dependency (finding C-1) so this has never run. Fix: add typescript as a devDependency pinned near 5.8.x, add a package.json script (""typecheck"": ""tsc -b --noEmit""), wire it into test-all.cmd and future CI, then fix these 12 errors."
DEF-002,question-import-template test fails - CSV header drift,Medium,P1,Frontend / Exams,frontend/src/features/exams/lib/question-import-template.test.ts,cd frontend && npm test -- --run,Test passes - CSV template header matches expectation,"FAIL: expected header 'question_text,question_type,options,correct_answer,points' but got 'question_text,question_type,options,option_images,correct_answer,points' (an option_images column was added to the exporter without updating the test)",evidence/vitest-output-2026-09-06.txt,open,Twixt Jasley Tamera,2026-09-06,,"32 of 33 frontend tests pass. This is simple test drift, not a functional bug - the feature works, the assertion is stale. Low-effort fix: update the expected string in the test."
DEF-003,ai/tests/test_pipeline.py never executes under the project's test command,High,P0,Backend / AI,backend/ai/tests/test_pipeline.py,cd backend && python manage.py test ai (with requirements-core.txt + requirements-cv.txt installed),4 tests run and report pass/fail,"ModuleNotFoundError: No module named 'pytest'. 0 of 4 tests execute. Same failure reproduced with only requirements-core.txt installed (ModuleNotFoundError: numpy, since that import is hit first in that configuration).",evidence/backend-tests-2026-09-06.txt (see also live run this pass),open,Twixt Jasley Tamera,2026-09-06,,"Root cause: this file uses pytest-style bare functions and fixtures (import pytest, @pytest.fixture, def test_*) but the project runs Django's unittest-based manage.py test everywhere else, and pytest is in no requirements file. test-all.cmd therefore also fails on the ai label. Fix: either rewrite as a Django TestCase / plain unittest module, or add pytest to requirements and run it via a separate pytest invocation as the README already documents but test-all.cmd does not follow."
DEF-004,Examinee can DELETE their own exam session and all attached proctoring evidence,Critical,P0,Backend / Sessions,backend/features/session/views.py:34,Authenticate as a STUDENT with an in_progress ExamSession they own. Send DELETE /api/sessions/{their_session_id}/.,403 Forbidden or 405 Method Not Allowed,"204 No Content - session deleted, cascading via on_delete=CASCADE to Response, SessionLog, BehaviorLog, Alert, and SessionIdentityReference for that session.","Verified by code read: features/session/views.py:34,43,47-51 (ModelViewSet, no http_method_names restriction, IsAuthenticated only) cross-referenced against on_delete=CASCADE at features/session/models.py:256,403, features/behavior/models.py:21,53, features/monitoring/models.py:18. No live exploit was executed against the seeded DB to avoid destroying test fixtures - this is a code-read-verified finding not yet reproduced end-to-end.",open,Twixt Jasley Tamera,2026-09-06,,"Maps to finding A-1 (06-qa-findings.md). Suggested fix: override http_method_names on ExamSessionViewSet to exclude delete for non-privileged users, or restrict the whole viewset to ['get','patch','head','options'] and route all mutations through the existing named actions (start/begin/submit/heartbeat/terminate) which already have correct checks."
DEF-005,"Examinee can PATCH their own session status directly, bypassing lifecycle guards",Critical,P0,Backend / Sessions,backend/features/session/serializers.py:148,"Authenticate as the session owner. Send PATCH /api/sessions/{id}/ with body {""status"": ""completed""}.",400/403 - status is not directly settable by the session owner,"200 OK - status changes, bypassing sessions.terminate permission check and every guard in features/session/services.py","Verified by code read: ExamSessionListSerializer read_only_fields = ['id','started_at'] omits 'status', which is listed in fields.",open,Twixt Jasley Tamera,2026-09-06,,Maps to finding A-2. Suggested fix: add 'status' to read_only_fields on every session serializer used for update/patch; drive all status transitions through the existing named actions.
DEF-006,Examinee can resolve (clear) their own behavior alerts via generic PATCH,Critical,P0,Backend / Behavior,backend/features/behavior/serializers.py,"Authenticate as the owner of the session an Alert belongs to. Send PATCH /api/behavior/alerts/{id}/ with body {""resolved"": true}.",403 - only behavior.resolve permission holders can resolve alerts (as the dedicated /resolve/ action correctly enforces),"200 OK - resolved flips to true with no permission check, because AlertSerializer.read_only_fields omits 'resolved' even though it is in fields, and AlertViewSet.http_method_names includes patch.","Verified by code read: features/behavior/views.py:27-34,44, features/behavior/serializers.py:44-54.",open,Twixt Jasley Tamera,2026-09-06,,Maps to finding A-3. Suggested fix: add 'resolved' to AlertSerializer.read_only_fields (mutations should only happen through the /resolve/ and /resolve_all/ actions which are correctly permission-checked).
DEF-007,reports.export permission is declared but never enforced,Medium,P2,Backend / Reports,"backend/features/reports/views.py:324-326,381-384",Authenticate as any user without a reports.export grant. Send GET /api/reports/export/csv/ or /export/pdf/.,403 - reports.export permission required,"200 - only @permission_classes([IsAuthenticated]) is checked; no security.can(request.user, 'reports.export') call exists in either view function.","Verified by code read; grep for reports.export enforcement returns only its declaration in permissions_registry.py and test assertions of the endpoints themselves, never a security.can() check.",open,Twixt Jasley Tamera,2026-09-06,,"Maps to finding A-6. Not a data leak (queryset scoping via _session_queryset still limits rows to what the user should see) but the advertised permission is decorative. Fix: add the missing security.can() check to both view functions, matching the pattern used elsewhere in the same file."
DEF-008,GET on exam sections/pools has no permission check while POST does,Low,P2,Backend / Exams,backend/features/exams/views.py:312-358,Authenticate as any user with no relationship to a given exam. Send GET /api/exams/{id}/sections/ or /pools/.,403 - matching the POST counterpart's assert_can_modify_exam check,200 - exam structure is readable by any authenticated user,Verified by code read.,open,Twixt Jasley Tamera,2026-09-06,,Maps to finding A-7.
DEF-009,No dedicated throttle on login/registration endpoints,Medium,P2,Backend / Security,backend/core/config/settings/base.py:163-186,Send >60 POST /api/auth/token/ requests within one minute from a single client.,Endpoint-specific brute-force throttle triggers before the global limit,Only the global DRF anon throttle (60/min) applies - same limit as every other unauthenticated endpoint.,Verified by reading DEFAULT_THROTTLE_RATES in settings/base.py - no per-view throttle_classes override exists on CustomTokenObtainPairView or RegisterView.,open,Twixt Jasley Tamera,2026-09-06,,Maps to finding A-8.
DEF-010,Identity verification silently runs as a 16x16 grayscale comparison instead of ArcFace under the documented setup,High,P1,Backend / AI,backend/ai/knowing_eye/recognition/identity.py,Install only requirements-core.txt + requirements-cv.txt (the path README.md documents). Instantiate IdentityVerifier() and inspect the resolved backend.,active backend: arcface (matching manuscript claims of FaceNet/ArcFace-based identity verification),active backend: appearance - confirmed live this pass,evidence/pipeline-mode-2026-09-06.txt,open,Twixt Jasley Tamera / Kervy Cadiente (CV),2026-09-06,,"Maps to finding A-5. Two possible fixes: (1) add requirements-identity.txt to the default install path (setup-venv.cmd and/or requirements.txt) if ArcFace's build dependencies are acceptable for the team's dev machines, or (2) if ArcFace is intentionally optional, update every manuscript page and README claim to say so explicitly and describe what appearance-fallback actually does."
DEF-011,face_detector suppresses looking_away instead of flagging it on internal error,Medium,P2,Backend / AI,backend/ai/knowing_eye/detection/face_detector.py:153,Force an exception inside _yaw_pitch_from_transform (e.g. malformed transform matrix from MediaPipe).,"An error/unknown state is flagged distinctly from a normal reading, or logged","Returns (0.0, 0.0) - 'perfectly forward-facing' - silently suppressing a potential looking_away detection","Verified by code read (bare except Exception: return 0.0, 0.0).",open,Kervy Cadiente (CV),2026-09-06,,"Maps to finding A-4. No test currently constructs this failure path (gap C-8) - needs a unit test that forces the transform-matrix branch to raise, asserting the function does NOT silently return a 'safe' value."
DEF-012,backend/db.sqlite3 committed with real personal and biometric data,Critical,P0,Repository hygiene / Privacy,backend/db.sqlite3,git ls-files | grep db.sqlite3,Dev database is never committed (matches .gitignore rule *.sqlite3),"File is tracked despite the gitignore rule (predates it). Contains ~44 real user rows with real personal emails and password hashes, ~30 sessions, ~1,026 behavior logs, ~1,025 alerts, and 24 stored face-identity embeddings. Migration-stale (stops at authentication.0003).",git ls-files output this pass,open,Whole team decision,2026-09-06,,Maps to finding D-1. Proposed fix: git rm --cached backend/db.sqlite3 then commit; confirm .gitignore already covers it (it does); rotate any credentials implied by the exposed hashes; discuss whether history needs rewriting given the biometric data.
DEF-013,backend/.env secrets committed across 5 historical commits; untracking does not remove them from history,Critical,P0,Repository hygiene / Secrets,backend/.env,git log --all -- backend/.env,Secrets never enter version control,"5 commits (2026-04-22 to 2026-09-06) touched this file before it was untracked. DJANGO_SECRET_KEY, DB password, and SEED_ADMIN_PASSWORD values from those commits remain retrievable from git history regardless of the current untracked state.",git log output this pass (existence only - contents not inspected),open,Whole team decision,2026-09-06,,"Maps to finding D-2. The commit that untracked the file treated that as closing the exposure - it does not. Immediate action needed regardless of any history-rewrite decision: rotate DJANGO_SECRET_KEY, the database password, and SEED_ADMIN_PASSWORD."
DEF-014,"backend/venv committed - 8,460 tracked files, ~150MB, Windows-only and non-functional",High,P1,Repository hygiene,backend/venv/,git ls-files backend/venv | wc -l,venv/ is gitignored and never committed (matches backend/.gitignore rule),"8,460 files tracked repo-wide, including 49 Windows .exe/.pyd/.dll files (cv2.pyd alone is 85MB). Also missing daphne, rest_framework_simplejwt, decouple, mediapipe, PyYAML - Django cannot boot from this venv at all.",git ls-files count this pass,open,Whole team decision,2026-09-06,,Maps to finding D-4. Fix: git rm -r --cached backend/venv; confirm .gitignore catches it (it does); document the real setup path (python3.12 -m venv + pip install -r requirements-*.txt) since the committed venv never worked.
DEF-015,seed_db.ensure_admin() silently reverts a rotated admin password on every seed run,Medium,P2,Backend / Seed data,backend/core/management/commands/seed_db.py:102-103,"Rotate the admin password by hand, then re-run python manage.py seed_db --noinput",Existing admin password is preserved on re-seed,SEED_ADMIN_PASSWORD from the environment overwrites it unconditionally every run,Verified by code read.,open,Twixt Jasley Tamera,2026-09-06,,"Maps to finding D-6. Minor for local dev, but worth a one-line guard (only set password if user was just created) before this script is ever run against a shared/staging environment."
DEF-016,ExamSessionViewSet and AlertViewSet have zero test coverage of their exposed but unintended verbs,High,P1,Backend / Tests,"backend/features/session/tests/, backend/features/behavior/tests/",grep for client.delete/client.patch against sessions/ and alerts/ endpoints in existing test files,Tests exist asserting a non-owner/non-privileged user cannot DELETE a session or PATCH resolved on an alert directly,"No such test exists in either test file - only the correctly-guarded named actions (/resolve/, /terminate/) are tested",Confirmed by grep this pass - no hits for the missing verb tests.,open,Twixt Jasley Tamera,2026-09-06,,Maps to finding C-8 and directly explains how DEF-004/005/006 went undetected. Fix alongside DEF-004/005/006: add regression tests for the corrected http_method_names / read_only_fields before closing those defects.
